Código do Termo;Termo;Data de início de vigência;Data de fim de vigência;Data de fim de implantação
20101074;Avaliação nutrológica (inclui consulta);13/02/2009;;15/10/2010
20101082;Avaliação nutrológica pré e pós-cirurgia bariátrica (inclui consulta);13/02/2009;;15/10/2010
20101090;Avaliação da composição corporal por antropometria (inclui consulta);13/02/2009;;15/10/2010
20101104;Avaliação da composição corporal por bioimpedanciometria;13/02/2009;;15/10/2010
20101112;Avaliação da composição corporal por pesagem hidrostática;13/02/2009;;15/10/2010
20101120;Controle anti-doping (por período de 2 horas) - durante competições;13/02/2009;;15/10/2010
20101139;Controle anti-doping (por período de 2 horas) - fora de competições;13/02/2009;;15/10/2010
20101155;Prestação de serviços em delegações ou competições esportivas;13/02/2009;;15/10/2010
20101171;Rejeição de enxerto renal - tratamento ambulatorial - avaliação clínica diária;13/02/2009;;15/10/2010
20101198;Teste e adaptação de lente de contato (sessão) - binocular;13/02/2009;;15/10/2010
20101201;Avaliação clínica e eletrônica de paciente portador de marca-passo ou sincronizador ou desfibrilador;13/02/2009;;15/10/2010
20101210;Acompanhamento clínico ambulatorial pós-transplante de córnea -por avaliação do 11º ao 30º dia até 3 avaliações;09/09/2010;;15/10/2010
20101228;Acompanhamento clínico ambulatorial pós-transplante de medula óssea;09/09/2010;;15/10/2010
20101236;Avaliação geriátrica ampla - AGA;01/01/2016;;31/03/2016
20102011;Holter de 24 horas - 2 ou mais canais - analógico;13/02/2009;;15/10/2010
20102020;Holter de 24 horas - 3 canais - digital;13/02/2009;;15/10/2010
20102038;Monitorização ambulatorial da pressão arterial - MAPA (24 horas);13/02/2009;;15/10/2010
20102062;Monitor de eventos sintomáticos por 15 a 30 dias (LOOPER);13/02/2009;;15/10/2010
20102070;Tilt teste;13/02/2009;;15/10/2010
20102089;Sistema Holter - 12 horas - 1 canal;13/02/2009;;15/10/2010
20102097;Sistema Holter - 12 horas - 2 ou mais canais;13/02/2009;;15/10/2010
20102100;Sistema Holter - 24 horas - 1 canal;13/02/2009;;15/10/2010
20102111;Monitorização eletrocardiográfica programada com transcrição - não contínua;13/02/2009;14/01/2016;15/10/2010
20102119;Monitorização eletrocardiográfica programada com transcrição - não contínua;15/01/2016;;15/04/2016
20102127;Holter 7 dias;10/10/2012;;31/08/2014
20102135;Holter cerebral;10/10/2012;;31/08/2014
20102143;Tilt teste com provas farmacológicas;10/10/2012;;31/08/2014
20103018;Adaptação e treinamento de recursos ópticos para visão subnormal (por sessão) - binocular;13/02/2009;;15/10/2010
20103026;Amputação bilateral (preparação do coto);13/02/2009;;15/10/2010
20103034;Amputação bilateral (treinamento protético);13/02/2009;;15/10/2010
20103042;Amputação unilateral (preparação do coto);13/02/2009;;15/10/2010
20103050;Amputação unilateral (treinamento protético);13/02/2009;;15/10/2010
20103069;Assistência fisiátrica respiratória em pré e pós-operatório de condições cirúrgicas;13/02/2009;;15/10/2010
20103077;Ataxias;13/02/2009;;15/10/2010
20103093;Atendimento fisiátrico no pré e pós-operatório de pacientes para prevenção de sequelas;13/02/2009;;15/10/2010
20103107;Atendimento fisiátrico no pré e pós-parto;13/02/2009;;15/10/2010
20103115;Atividade reflexa ou aplicação de técnica cinesioterápica específica;13/02/2009;;15/10/2010
20103123;Atividades em escola de postura (máximo de 10 pessoas) - por sessão;13/02/2009;;15/10/2010
20103131;Biofeedback com EMG;13/02/2009;;15/10/2010
20103140;Bloqueio fenólico, alcoólico ou com toxina botulínica por segmento corporal;13/02/2009;;15/10/2010
20103158;Confecção de órteses em material termo-sensível (por unidade);13/02/2009;;15/10/2010
20103166;Confecção de prótese imediata;13/02/2009;;15/10/2010
20103174;Confecção de prótese provisória;13/02/2009;;15/10/2010
20103182;Desvios posturais da coluna vertebral;13/02/2009;;15/10/2010
20103190;Disfunção vésico-uretral;13/02/2009;;15/10/2010
20103204;Distrofia simpático-reflexa;13/02/2009;;15/10/2010
20103212;Distúrbios circulatórios artério-venosos e linfáticos;13/02/2009;;15/10/2010
20103220;Doenças pulmonares atendidas em ambulatório;13/02/2009;;15/10/2010
20103239;Exercícios de ortóptica (por sessão);13/02/2009;;15/10/2010
20103247;Exercícios para reabilitação do asmático (ERAC) - por sessão coletiva;13/02/2009;;15/10/2010
20103255;Exercícios para reabilitação do asmático (ERAI) - por sessão individual;13/02/2009;;15/10/2010
20103263;Hemiparesia;13/02/2009;;15/10/2010
20103271;Hemiplegia;13/02/2009;;15/10/2010
20103280;Hemiplegia e hemiparesia com afasia;13/02/2009;;15/10/2010
20103298;Hipo ou agenesia de membros;13/02/2009;;15/10/2010
20103301;Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo);13/02/2009;;15/10/2010
20103310;Lesão nervosa periférica afetando mais de um nervo com alterações sensitivas e/ou motoras;13/02/2009;;15/10/2010
20103328;Lesão nervosa periférica afetando um nervo com alterações sensitivas e/ou motoras;13/02/2009;;15/10/2010
20103336;Manipulação vertebral;13/02/2009;;15/10/2010
20103344;Miopatias;13/02/2009;;15/10/2010
20103360;Paciente com D.P.O.C. em atendimento ambulatorial necessitando reeducação e reabilitação respiratória;13/02/2009;;15/10/2010
20103379;Paciente em pós-operatório de cirurgia cardíaca, atendido em ambulatório, duas a três vezes por semana;13/02/2009;;15/10/2010
20103387;Pacientes com doença isquêmica do coração, atendido em ambulatório de 8 a 24 semanas;13/02/2009;;15/10/2010
20103395;Pacientes com doença isquêmica do coração, atendido em ambulatório, até 8 semanas de programa;13/02/2009;;15/10/2010
20103409;Pacientes com doenças neuro-músculo-esqueléticas com envolvimento tegumentar;13/02/2009;;15/10/2010
20103417;Pacientes sem doença coronariana clinicamente manifesta, mas considerada de alto  risco,  atendido  em ambulatório, duas a três vezes por semana;13/02/2009;;15/10/2010
20103425;Paralisia cerebral;13/02/2009;;15/10/2010
20103433;Paralisia cerebral com distúrbio de comunicação;13/02/2009;;15/10/2010
20103441;Paraparesia/tetraparesia;13/02/2009;;15/10/2010
20103450;Paraplegia e tetraplegia;13/02/2009;;15/10/2010
20103468;Parkinson;13/02/2009;;15/10/2010
20103476;Patologia neurológica com dependência de atividades da vida diária;13/02/2009;;15/10/2010
20103484;Patologia osteomioarticular em um membro;13/02/2009;;15/10/2010
20103492;Patologia osteomioarticular em dois ou mais membros;13/02/2009;;15/10/2010
20103506;Patologia osteomioarticular em um segmento da coluna;13/02/2009;;15/10/2010
20103514;Patologia osteomioarticular em diferentes segmentos da coluna;13/02/2009;;15/10/2010
20103522;Patologias osteomioarticulares com dependência de atividades da vida diária;13/02/2009;;15/10/2010
20103530;Recuperação funcional pós-operatória ou por imobilização da patologia vertebral;13/02/2009;;15/10/2010
20103549;Procedimentos mesoterápicos (por região anatômica);13/02/2009;;15/10/2010
20103557;Procedimentos mesoterápicos com calcitonina (qualquer segmento);13/02/2009;;15/10/2010
20103565;Processos inflamatórios pélvicos;13/02/2009;;15/10/2010
20103573;Programa de exercício supervisionado com obtenção de eletrocardiograma e/ou saturação de O2 - sessão individual;13/02/2009;;15/10/2010
20103581;Programa de exercício supervisionado com obtenção de eletrocardiograma e/ou saturação de O2 - sessão coletiva;13/02/2009;;15/10/2010
20103590;Programa de exercício supervisionado sem obtenção de eletrocardiograma e/ou saturação de O2 - sessão individual;13/02/2009;;15/10/2010
20103603;Programa de exercício supervisionado sem obtenção de eletrocardiograma e/ou saturação de O2 - sessão coletiva;13/02/2009;;15/10/2010
20103611;Queimados - seguimento ambulatorial para prevenção de sequelas (por segmento);13/02/2009;;15/10/2010
20103620;Reabilitação de paciente com endoprótese;13/02/2009;;15/10/2010
20103638;Reabilitação labiríntica (por sessão);13/02/2009;;15/10/2010
20103646;Reabilitação perineal com biofeedback;13/02/2009;;15/10/2010
20103654;Recuperação funcional de distúrbios crânio-faciais;13/02/2009;;15/10/2010
20103662;Recuperação funcional pós-operatória ou pós-imobilização gessada de  patologia  osteomioarticular  com complicações neurovasculares afetando um membro;13/02/2009;;15/10/2010
20103670;Recuperação funcional pós-operatória ou pós-imobilização gessada de  patologia  osteomioarticular  com complicações neurovasculares afetando mais de um membro;13/02/2009;;15/10/2010
20103689;Retardo do desenvolvimento psicomotor;13/02/2009;;15/10/2010
20103697;Sequelas de traumatismos torácicos e abdominais;13/02/2009;;15/10/2010
20103700;Sequelas em politraumatizados (em diferentes segmentos);13/02/2009;;15/10/2010
20103719;Sinusites;13/02/2009;;15/10/2010
20103727;Reabilitação  cardíaca supervisionada. Programa de 12 semanas. Duas a três sessões por semana (por sessão);13/02/2009;;15/10/2010
20103743;Exercícios de pleóptica;13/02/2009;;15/10/2010
20103751;Leme, análise de marcha;10/10/2012;;31/08/2014
20104014;Actinoterapia (por sessão);13/02/2009;;15/10/2010
20104022;Aplicação de hipossensibilizante - em consultório (AHC) exclusive o alérgeno - planejamento técnico para;13/02/2009;;15/10/2010
20104049;Cateterismo vesical em retenção urinária;13/02/2009;;15/10/2010
20104057;Cauterização química vesical;13/02/2009;;15/10/2010
20104065;Cerumen - remoção (bilateral);13/02/2009;;15/10/2010
20104073;Crioterapia (grupo de até 5 lesões);13/02/2009;;15/10/2010
20104081;Curativos em geral com anestesia, exceto queimados;13/02/2009;;15/10/2010
20104090;Curativo de extremidades de origem vascular;13/02/2009;;15/10/2010
20104103;Curativos em geral sem anestesia, exceto queimados;13/02/2009;;15/10/2010
20104111;Dilatação uretral (sessão);13/02/2009;;15/10/2010
20104120;Fototerapia com UVA (PUVA) (por sessão);13/02/2009;;15/10/2010
20104138;Imunoterapia específica - 30 dias - planejamento técnico;13/02/2009;;15/10/2010
20104146;Imunoterapia inespecífica - 30 dias - planejamento técnico;13/02/2009;;15/10/2010
20104154;Instilação vesical ou uretral;13/02/2009;;15/10/2010
20104170;Sessão de eletroconvulsoterapia (em sala com oxímetro de pulso, monitor de ECG, EEG), sob anestesia;13/02/2009;;15/10/2010
20104189;Sessão de oxigenoterapia hiperbárica (por sessão de 2 horas);13/02/2009;;15/10/2010
20104197;Sessão de psicoterapia de casal;13/02/2009;;15/10/2010
20104200;Sessão de psicoterapia de grupo (por paciente);13/02/2009;;15/10/2010
20104219;Sessão de psicoterapia individual;13/02/2009;;15/10/2010
20104227;Sessão de psicoterapia infantil;13/02/2009;;15/10/2010
20104235;Terapia inalatória - por nebulização;13/02/2009;;15/10/2010
20104243;Terapia oncológica com altas doses - planejamento e 1º dia de tratamento;13/02/2009;;15/10/2010
20104251;Terapia oncológica com altas doses - por dia subsequente de tratamento;13/02/2009;;15/10/2010
20104260;Terapia oncológica com aplicação de medicamentos por via intracavitária ou intratecal  - por procedimento;13/02/2009;;15/10/2010
20104278;Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão de duração mínima de 6 horas - planejamento e 1º dia de tratamento;13/02/2009;;15/10/2010
20104286;Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão de duração mínima de 6 horas - por dia subsequente de tratamento;13/02/2009;;15/10/2010
20104294;Terapia oncológica - planejamento e 1º dia de tratamento;13/02/2009;;15/10/2010
20104308;Terapia oncológica - por dia subsequente de tratamento;13/02/2009;;15/10/2010
20104316;Curativo de ouvido (cada);13/02/2009;;15/10/2010
20104324;Curativo oftalmológico;13/02/2009;;15/10/2010
20104332;Bota de Unna - confecção;13/02/2009;;15/10/2010
20104340;Cateterismo de canais ejaculadores;13/02/2009;;15/10/2010
20104359;Massagem prostática;13/02/2009;;15/10/2010
20104367;Pneumoperitônio (por sessão);13/02/2009;;15/10/2010
20104375;Pneumotórax artificial;13/02/2009;;15/10/2010
20104383;Pulsoterapia intravenosa (por sessão) - ambulatorial;09/09/2010;;15/10/2010
20104391;Terapia imunobiológica intravenosa (por sessão) - ambulatorial;10/10/2012;;31/08/2014
20104405;Terapia fotodinâmica;10/10/2012;;31/08/2014
20104413;Estimulação magnética transcraniana superficial (repetida) - EMT;26/05/2014;;31/08/2014
20104421;Terapia imunobiológica subcutânea (por sessão) ambulatorial;01/12/2013;;31/08/2014
20104430;Terapia antineoplásica oral para tratamento do câncer;01/12/2013;;31/08/2014
20104464;Terapia imunoprofilática com palivizumabe para o vírus sincicial respiratório (por sessão) – ambulatorial;01/01/2018;;31/03/2018
20105010;Perícia forense, por psiquiatra forense;13/02/2009;;15/10/2010
20105029;Perícia psiquiátrica administrativa;13/02/2009;;15/10/2010
20105037;Fornecimento de equipamentos coletores e adjuvantes para colostomia, ileostomia e urostomia, sonda vesical de demora e coletor de urina;01/12/2013;;31/08/2014
20201010;Acompanhamento clínico de transplante renal no período de internação do receptor e do doador (pós-operatório até 15 dias);13/02/2009;;15/10/2010
20201028;Acompanhamento peroperatório;13/02/2009;;15/10/2010
20201036;Assistência cardiológica peroperatória em cirurgia geral e em parto (primeira hora);13/02/2009;;15/10/2010
20201044;Assistência cardiológica peroperatória em cirurgia geral e em parto (horas suplementares) - máximo de 4 horas;13/02/2009;;15/10/2010
20201052;Cardioversão elétrica eletiva (avaliação clínica, eletrocardiográfica, indispensável à desfibrilação);13/02/2009;;15/10/2010
20201060;Rejeição de enxerto renal - tratamento internado - avaliação clínica diária - por visita;13/02/2009;;15/10/2010
20201079;Transplante duplo rim-pâncreas - acompanhamento clínico (pós-operatório até 15 dias);13/02/2009;;15/10/2010
20201087;Tratamento  conservador  de  traumatismo  cranioencefálico, hipertensão  intracraniana  e  hemorragia (por dia);13/02/2009;;15/10/2010
20201095;Assistência cardiológica no pós-operatório de cirurgia cardíaca (após a alta da UTI);13/02/2009;;15/10/2010
20201109;Avaliação clínica diária enteral;13/02/2009;;15/10/2010
20201117;Avaliação clínica diária parenteral;13/02/2009;;15/10/2010
20201125;Avaliação clínica diária parenteral e enteral;13/02/2009;;15/10/2010
20201133;Acompanhamento médico na litotripsia extracorpórea;10/10/2012;;31/08/2014
20202016;Cardiotocografia anteparto;13/02/2009;;15/10/2010
20202024;Cardiotocografia intraparto (por hora) até 6 horas externa;13/02/2009;;15/10/2010
20202032;Monitorização hemodinâmica invasiva (por 12 horas);13/02/2009;;15/10/2010
20202040;Monitorização neurofisiológica intra-operatória;13/02/2009;;15/10/2010
20202059;Potencial evocado intra-operatório - monitorização cirúrgica (PE/IO);13/02/2009;;15/10/2010
20202067;Monitorização da pressão intracraniana (por dia);13/02/2009;;15/10/2010
20203012;Assistência fisiátrica respiratória em paciente internado com ventilação mecânica;13/02/2009;;15/10/2010
20203020;Eletroestimulação do assoalho pélvico e/ou outra técnica de exercícios perineais;13/02/2009;;15/10/2010
20203047;Assistência fisiátrica respiratória em doente clínico internado;13/02/2009;;15/10/2010
20203063;Pacientes com doença isquêmica do coração, hospitalizado, até 8 semanas de programa;13/02/2009;;15/10/2010
20203071;Pacientes em pós-operatório de cirurgia cardíaca, hospitalizado, até 8 semanas de programa;13/02/2009;;15/10/2010
20204027;Cardioversão elétrica de emergência;13/02/2009;;15/10/2010
20204035;Cardioversão química de arritmia paroxísta em emergência;13/02/2009;;15/10/2010
20204043;Priapismo - tratamento não cirúrgico;13/02/2009;;15/10/2010
20204086;Terapia oncológica com aplicação intra-arterial de medicamentos, em regime de aplicação peroperatória, por meio de cronoinfusor ou perfusor extra-corpórea;13/02/2009;;15/10/2010
20204159;Pulsoterapia intravenosa (por sessão) - hospitalar;09/09/2010;;15/10/2010
20204167;Terapia imunobiológica intravenosa (por sessão) - hospitalar;10/10/2012;;31/08/2014
20204175;Terapia imunobiológica subcutânea (por sessão) - hospitalar;01/12/2013;;31/08/2014
20204183;Terapia imunoprofilática com palivizumabe para o vírus sincicial respiratório (por sessão) – hospitalar;01/01/2018;;31/03/2018
30101018;Abrasão cirúrgica (por sessão);13/02/2009;;15/10/2010
30101026;Alopecia parcial - exérese e sutura;13/02/2009;;15/10/2010
30101034;Alopecia parcial - rotação de retalho;13/02/2009;;15/10/2010
30101042;Alopecia parcial - rotação múltipla de retalhos;13/02/2009;;15/10/2010
30101050;Apêndice pré-auricular - ressecção;13/02/2009;;15/10/2010
30101069;Autonomização de retalho - por estágio;13/02/2009;;15/10/2010
30101077;Biópsia de pele, tumores superficiais, tecido celular subcutâneo, linfonodo superficial, etc;13/02/2009;;15/10/2010
30101085;Biópsia de unha;13/02/2009;;15/10/2010
30101093;Calosidade e/ou mal perfurante - desbastamento (por lesão);13/02/2009;;15/10/2010
30101107;Cauterização química (por grupo de até 5 lesões);13/02/2009;;15/10/2010
30101115;Cirurgia da hidrosadenite (por região);13/02/2009;;15/10/2010
30101123;Cirurgia micrográfica de Mohs;13/02/2009;;15/10/2010
30101140;Correção cirúrgica de linfedema (por estágio);13/02/2009;;15/10/2010
30101158;Correção cirúrgica de sequelas de alopecia traumática com microenxertos pilosos (por região);13/02/2009;;15/10/2010
30101166;Correção de deformidades nos membros com utilização de implantes;13/02/2009;;15/10/2010
30101174;Correção de deformidades por exérese de tumores, cicatrizes ou ferimentos com o emprego de expansores  em retalhos  musculares ou miocutâneos (por estágio);13/02/2009;;15/10/2010
30101182;Correção de deformidades por exérese de tumores, cicatrizes ou ferimentos, com o emprego de expansores de tecido, em retalhos cutâneos (por estágio);13/02/2009;;15/10/2010
30101190;Correção de lipodistrofia braquial, crural ou trocanteriana de membros superiores e inferiores;13/02/2009;;15/10/2010
30101204;Criocirurgia (nitrogênio líquido) de neoplasias cutâneas;13/02/2009;;15/10/2010
30101212;Curativo de queimaduras - por unidade topográfica (UT) ambulatorial;13/02/2009;;15/10/2010
30101220;Curativo de queimaduras - por unidade topográfica (UT) hospitalar;13/02/2009;;15/10/2010
30101239;Curativo especial sob anestesia - por unidade topográfica (UT);13/02/2009;;15/10/2010
30101247;Curetagem e eletrocoagulação de CA de pele (por lesão);13/02/2009;;15/10/2010
30101255;Curetagem simples de lesões de pele (por grupo de até 5 lesões);13/02/2009;;15/10/2010
30101263;Dermoabrasão de lesões cutâneas;13/02/2009;;15/10/2010
30101271;Dermolipectomia para correção de abdome em avental;13/02/2009;;15/10/2010
30101280;Desbridamento cirúrgico - por unidade topográfica (UT);13/02/2009;;15/10/2010
30101298;Eletrocoagulação de lesões de pele e mucosas - com ou sem curetagem (por grupo de até 5 lesões);13/02/2009;;15/10/2010
30101301;Enxerto cartilaginoso;13/02/2009;;15/10/2010
30101310;Enxerto composto;13/02/2009;;15/10/2010
30101328;Enxerto de mucosa;13/02/2009;;15/10/2010
30101336;Enxerto de pele (homoenxerto inclusive);13/02/2009;;15/10/2010
30101344;Enxerto de pele múltiplo - por unidade topográfica (UT);13/02/2009;;15/10/2010
30101352;Epilação por eletrólise (por sessão);13/02/2009;;15/10/2010
30101360;Escalpo  parcial  -  tratamento cirúrgico;13/02/2009;;15/10/2010
30101379;Escalpo total - tratamento cirúrgico;13/02/2009;;15/10/2010
30101387;Escarectomia descompressiva (pele e estruturas profundas) - por unidade topográfica (UT);13/02/2009;;15/10/2010
30101395;Esfoliação química média (por sessão);13/02/2009;;15/10/2010
30101409;Esfoliação química profunda (por sessão);13/02/2009;;15/10/2010
30101417;Esfoliação química superficial (por sessão);13/02/2009;;15/10/2010
30101425;Exérese de higroma cístico;13/02/2009;;15/10/2010
30101433;Exérese de higroma cístico no RN e lactente;13/02/2009;;15/10/2010
30101441;Exérese de lesão com auto-enxertia;13/02/2009;;15/10/2010
30101450;Exérese e sutura de lesões (circulares ou não) com rotação de retalhos cutâneos;13/02/2009;;15/10/2010
30101468;Exérese de lesão / tumor de pele e mucosas;13/02/2009;;15/10/2010
30101476;Exérese de tumor e rotação de retalho músculo-cutâneo;13/02/2009;;15/10/2010
30101484;Exérese de unha;13/02/2009;;15/10/2010
30101492;Exérese e sutura simples de pequenas lesões (por grupo de até 5 lesões);13/02/2009;;15/10/2010
30101506;Exérese tangencial (shaving) - (por grupo de até 5 lesões);13/02/2009;;15/10/2010
30101514;Expansão tissular (por sessão);13/02/2009;;15/10/2010
30101522;Extensos ferimentos, cicatrizes ou tumores - excisão e retalhos cutâneos da região;13/02/2009;;15/10/2010
30101530;Extensos ferimentos, cicatrizes ou tumores - exérese e emprego de retalhos cutâneos ou musculares  cruzados (por estágio);13/02/2009;;15/10/2010
30101549;Extensos ferimentos, cicatrizes ou tumores - exérese e retalhos cutâneos à distância;13/02/2009;;15/10/2010
30101557;Extensos ferimentos, cicatrizes ou tumores - exérese e rotação de retalho fasciocutâneo ou axial;13/02/2009;;15/10/2010
30101565;Extensos ferimentos, cicatrizes ou tumores - exérese e rotação de retalhos miocutâneos;13/02/2009;;15/10/2010
30101573;Extensos ferimentos, cicatrizes ou tumores - exérese e rotação de retalhos musculares;13/02/2009;;15/10/2010
30101581;Extensos ferimentos, cicatrizes, ou tumores - exérese e enxerto cutâneo;13/02/2009;;15/10/2010
30101590;Face - biópsia;13/02/2009;;15/10/2010
30101603;Ferimentos infectados e mordidas de animais (desbridamento);13/02/2009;;15/10/2010
30101611;Incisão e drenagem de tenossinovites purulentas;13/02/2009;;15/10/2010
30101620;Incisão e drenagem de abscesso, hematoma ou panarício;13/02/2009;;15/10/2010
30101638;Incisão e drenagem de flegmão;13/02/2009;;15/10/2010
30101646;Infiltração  intralesional, cicatricial / hemangiomas - por sessão;13/02/2009;;15/10/2010
30101654;Lasercirurgia (por sessão);13/02/2009;;15/10/2010
30101662;Matricectomia por dobra ungueal;13/02/2009;;15/10/2010
30101670;Plástica em Z ou W;13/02/2009;;15/10/2010
30101689;Reconstrução com retalhos de gálea aponeurótica;13/02/2009;;15/10/2010
30101697;Retalho composto (incluindo cartilagem ou osso);13/02/2009;;15/10/2010
30101700;Retalho local ou regional;13/02/2009;;15/10/2010
30101719;Retalho muscular ou miocutâneo;13/02/2009;;15/10/2010
30101735;Retirada de corpo estranho subcutâneo;13/02/2009;;15/10/2010
30101743;Retração cicatricial de axila - tratamento cirúrgico;13/02/2009;;15/10/2010
30101751;Retração cicatricial de zona de flexão e extensão de membros superiores e inferiores - tratamento cirúrgico;13/02/2009;;15/10/2010
30101760;Retração cicatricial do cotovelo - tratamento cirúrgico;13/02/2009;;15/10/2010
30101778;Retração de aponevrose palmar (Dupuytren) - tratamento cirúrgico;13/02/2009;;15/10/2010
30101786;Sutura de extensos ferimentos com ou sem desbridamento;13/02/2009;;15/10/2010
30101794;Sutura de pequenos ferimentos com ou sem desbridamento;13/02/2009;;15/10/2010
30101808;Transecção de retalho;13/02/2009;;15/10/2010
30101816;Transferência intermediária de retalho;13/02/2009;;15/10/2010
30101824;Tratamento cirúrgico de bridas constrictivas;13/02/2009;;15/10/2010
30101832;Tratamento cirúrgico de grandes hemangiomas;13/02/2009;;15/10/2010
30101840;Tratamento da miiase furunculóide (por lesão);13/02/2009;;15/10/2010
30101859;Tratamento de anomalias pilosas a laser/photoderm - por sessão;13/02/2009;;15/10/2010
30101867;Tratamento de escaras ou ulcerações com enxerto de pele;13/02/2009;;15/10/2010
30101875;Tratamento de escaras ou ulcerações com retalhos cutâneos locais;13/02/2009;;15/10/2010
30101883;Tratamento de escaras ou ulcerações com retalhos miocutâneos ou musculares;13/02/2009;;15/10/2010
30101891;Tratamento de fístula cutânea;13/02/2009;;15/10/2010
30101905;Tratamento de lesões cutâneas e vasculares a laser/photoderm - por sessão;13/02/2009;;15/10/2010
30101913;TU partes moles - exérese;13/02/2009;;15/10/2010
30101921;Exérese e sutura de hemangioma, linfangioma ou nevus (por grupo de até 5 lesões);13/02/2009;;15/10/2010
30101930;Abscesso de unha (drenagem) - tratamento cirúrgico;13/02/2009;;15/10/2010
30101948;Cantoplastia ungueal;13/02/2009;;15/10/2010
30101956;Unha (enxerto) - tratamento cirúrgico;13/02/2009;;15/10/2010
30101964;Retalho expandido;13/02/2009;;15/10/2010
30201012;Biópsia de lábio;13/02/2009;;15/10/2010
30201020;Excisão com plástica de vermelhão;13/02/2009;;15/10/2010
30201039;Excisão com reconstrução à custa de retalhos;13/02/2009;;15/10/2010
30201047;Excisão com reconstrução total;13/02/2009;;15/10/2010
30201055;Excisão em cunha;13/02/2009;;15/10/2010
30201063;Frenotomia labial;13/02/2009;;15/10/2010
30201071;Queiloplastia para fissura labial unilateral - por estágio;13/02/2009;;15/10/2010
30201080;Reconstrução de sulco gengivo-labial;13/02/2009;;15/10/2010
30201098;Reconstrução total do lábio;13/02/2009;;15/10/2010
30201101;Tratamento cirúrgico da macrostomia;13/02/2009;;15/10/2010
30201110;Tratamento cirúrgico da microstomia;13/02/2009;;15/10/2010
30201128;Reconstrução parcial do lábio;13/02/2009;;15/10/2010
30202019;Alongamento cirúrgico do palato mole;13/02/2009;;15/10/2010
30202027;Biópsia de boca;13/02/2009;;15/10/2010
30202035;Excisão de lesão maligna com reconstrução à custa de retalhos locais;13/02/2009;;15/10/2010
30202043;Excisão de tumor de boca com mandibulectomia;13/02/2009;;15/10/2010
